"","Mcav_na_K11_na_exp_na_salmon","Mcav_na_K12_na_control_na_salmon","Mcav_na_K13_na_exp_na_salmon","Mcav_na_K14_na_control_na_salmon","Mcav_na_K15_na_exp_na_salmon","Mcav_na_K16_na_control_na_salmon","Mcav_na_K17_na_D1_na_salmon","Mcav_na_K18_na_D1_na_salmon","Mcav_na_K19_na_D1_na_salmon","Mcav_na_K22_na_D1control_na_salmon","Mcav_na_K23_na_D1_na_salmon","Mcav_na_K25_na_D1_na_salmon","Mcav_na_K27_na_D4control_na_salmon","Mcav_na_K29_na_D1_na_salmon","Mcav_na_K31_na_D1_na_salmon","Mcav_na_K33_na_D1control_na_salmon","Mcav_na_K34_na_D1control_na_salmon","Mcav_na_K36_na_D1_na_salmon","Mcav_na_K38_na_D2control_na_salmon","Mcav_na_K39_na_D2control_na_salmon","Mcav_na_K40_na_D1_na_salmon","Mcav_na_K42_na_D4control_na_salmon","Mcav_na_K43_na_D3control_na_salmon","Mcav_na_K44_na_D1_na_salmon","Mcav_na_K45_na_D1_na_salmon","Mcav_na_K47_na_D4control_na_salmon","Mcav_na_K49_na_D1_na_salmon","Mcav_na_K50_na_D1control_na_salmon","Mcav_na_K51_na_D4control_na_salmon"
"Mcavernosa06188-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06189-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06190-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06191-RA",0,0.883991,6.121125,0,0,0,0,13.364757,5.988253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06192-RA",16.027378,2.889998,6.289346,0,6.938489,0,0,23.718994,10.487766,0.59058,0,0,0.71625,0,0,4.073387,0,0,0,0,0,0,0,0.578345,0,0,0,0,0
"Mcavernosa06196-RA",0,11.832825,0.237494,0,0,0,0,0,0,0,0,0,20.082044,8.949935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06197-RA",96.461601,55.851023,44.345708,0,39.422644,374.404284,0,3.377569,9.458522,49.001204,0,0,17.440881,0,0,102.861787,0,7.484283,0,144.049934,0,30.867981,0,0,4.585439,84.685319,0,0,149.682253
"Mcavernosa06198-RA",0,3.137546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06199-RA",0.207424,2.35632,1.208604,0,0.733341,0,0,8.708185,9.31115,2.12226,0,0,3.065917,4.554609,0,0,0,0,0,0,23.860993,0,11.185984,0.366758,0,5.237933,2.365221,0.95392,22.724442
"Mcavernosa06200-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06201-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06203-RA",0,1.756037,2.837224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06204-RA",0,0,0,0,0,0,0,0,11.395122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.356429,0,0,0,0,0
"Mcavernosa06205-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06206-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06207-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06208-RA",0,0,2.242506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06209-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06210-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06211-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06213-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06214-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06215-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06216-RA",213.390117,35.440012,57.26034,0,438.763223,0,0,42.864421,6.001862,38.866864,0,0,0,0,0,180.659363,0,0,0,0,34.606186,0,0,0,0,1.865857,0,0,0
"Mcavernosa06217-RA",0,0,0,0,0,15.791063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06218-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06219-RA",132.652092,82.769948,77.00117,33.763208,164.942047,3.58946,7.180896,108.897861,65.271469,85.260057,122.138878,0,128.248423,76.941155,0,74.806407,0,4.233411,0,273.110338,131.619423,107.255335,76.076885,156.661465,0,74.51332,34.247785,221.000209,0
"Mcavernosa06220-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06221-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06222-RA",18.954946,18.295746,8.120987,0,27.59427,47.971766,7.997496,2.127747,8.341939,11.072572,83.709734,0,23.805438,0,0,6.942773,0,0,0,0,0,0,0,0,0,3.70477,0,164.088001,17.144439
"Mcavernosa06223-RA",0,0,0,0,0,0,0,28.369954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06225-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06227-RA",0,0,1.423555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06228-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06232-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06233-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06234-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06235-RA",0,1.462815,0,15.633695,5.736295,0,0,0,0,13.950094,0,0,46.314502,0,0,0,0,0,0,0,0,0,0,0,0,10.011916,0,0,0
"Mcavernosa06236-RA",0,18.202652,30.810455,0,0,0,0,0,10.275562,83.901401,0,0,0,0,0,189.571013,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06239-RA",0,0.80775,0.18644,0,0,0,0,7.327251,0,0.192577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06240-RA",0,30.370991,0.876256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06242-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06244-RA",0,53.105158,0,0,0,0,0,0,0,24.170805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06245-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06248-RA",0,0,1.792887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06250-RA",620.209074,328.28643,661.557286,202.415213,180.369807,0,0,0,117.607342,54.185102,0,11776.508686,0,0,0,207.627319,0,0,0,0,0,0,0,0,0,46.533116,0,0,0
"Mcavernosa06251-RA",3.532004,2.476748,3.430008,0,0,0,0,0,0.838888,0,0,0,0,0,0,0,0,49.78427,0,0,0,0,0,0,0,0.521586,0,0,0
"Mcavernosa06252-RA",0,0,0.445173,0,0,0,0,0,3.26632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06254-RA",89.783173,308.245689,318.070726,0,2.539406,0,0,205.599694,145.859212,69.166512,0,0,0,0,0,0,138.9749,1123.773762,0,0,0,0,0,0,18.608353,9.546246,40.951324,0,0
"Mcavernosa06255-RA",4.190435,10.097617,2.885592,35.972444,0,0,0,0,7.328824,1.375652,0,0,1.876925,0,0,0,0,16.108632,28.336802,0,0,0,0,0.673577,0,18.227059,0,0,0
"Mcavernosa06257-RA",0,0,3.635577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06258-RA",0,1.859703,7.726414,0,0,0,0,5.62324,1.574728,0.443375,4.608944,0,0,0,0,24.464614,0,6.230208,0,0,0,0,0,0,0,0,8.400272,250.70631,0
"Mcavernosa06260-RA",0,12.04804,3.17812,0,0,0,0,0,0,0,0,0,0,0,13.800009,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06261-RA",0,0,0,0,0,0,0,0,2.747991,0,0,0,0,23.523459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06263-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06264-RA",4.148477,41.890142,34.324341,0,35.787038,0,0,3.166613,14.188419,6.491619,5.190866,0,0,0,0,1.722094,0,0,0,0,0,0,0,0,0,18.746287,0,0,0
"Mcavernosa06265-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.030084,0,0,0
"Mcavernosa06266-RA",0,0,2.608131,0,0,0,0,0,0,0,0,17.802571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06267-RA",0,11.894436,6.039883,0,0,0,0,0,36.25839,17.5818,0,0,22.182838,0,0,44.985919,0,0,0,0,0,0,0,0,0,7.514665,0,0,0
"Mcavernosa06269-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06270-RA",0.788396,5.970749,15.618829,85.082422,13.936754,0,0,18.053936,11.796896,5.693989,0,0,6.905614,0,7.978818,0,0,6.667555,0,0,0,0,0,1.394007,0,0,0,0,0
"Mcavernosa06273-RA",0,7.095169,19.288042,84.254395,7.066174,0,0,0,5.340383,7.894004,0,0,0,0,0,9.074511,0,0,0,0,0,0,0,1.104353,0,8.301083,0,0,0
"Mcavernosa06278-RA",35.929338,13.954009,70.857155,0,0,0,0,73.838041,0,0,0,0,59.007664,0,0,0,0,0,0,0,0,41.31515,13.549668,0,0,3.673276,0,0,0
"Mcavernosa06281-RA",20.320483,33.69123,23.178705,44.13784,26.788718,0,2.470372,5.915218,23.559025,21.661536,1.07739,0,8.484621,18.906644,5.228384,27.164622,0,1.456378,0,0,0,75.512162,7.598315,0,0.892288,34.789105,0,110.082944,103.599109
"Mcavernosa06282-RA",2.635555,12.474884,8.446173,0,24.226612,0,0,0,11.267496,1.189664,0,0,1.08211,0,0,15.043291,0,144.879748,0,0,0,3.283177,38.762891,0,0,0.437854,0,0,0
"Mcavernosa06283-RA",0,4.991951,4.032741,0,0,0,0,5.660368,1.05675,2.082745,0,0,10.825428,0,0,9.234805,0,0,0,84.940208,0,0,0,0,0,22.010991,0,0,0
"Mcavernosa06284-RA",12.96539,19.871911,18.346856,12.492893,1.964518,0,0,24.741832,21.775872,59.08189,0,0,21.800375,142.346905,0,44.2103,0,7.832128,192.885681,0,0,0,0,0,0,81.236117,0,97.957708,92.559409
"Mcavernosa06285-RA",11.69902,14.766672,26.585158,284.071353,53.770003,0,0,13.395132,5.001552,7.745208,0,0,7.044986,0,0,0,0,9.893995,0,0,0,0,11.471026,0,6.061812,2.332321,0,0,0
"Mcavernosa06286-RA",0,0,1.116038,0,0,0,0,14.620423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06288-RA",0,0,1.09844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.403616,0,0,0,0,0,0
"Mcavernosa06290-RA",0,3.079711,4.265042,0,0,0,0,31.040726,5.215575,0,5.088347,0,0,35.717252,0,0,0,0,0,0,0,0,0,0,4.214137,3.783305,0,0,0
"Mcavernosa06292-RA",44.614084,166.45325,32.876584,44.252574,2.783502,0,1731.77433,147.737702,161.282121,35.14342,102.618146,104.376199,295.956736,28.812802,6.639834,249.202403,25.388935,172.00734,0,31.642762,45.823026,19.615371,51.464273,2.320138,0,125.130341,0,6.034569,216.895821
"Mcavernosa06293-RA",0,5.549326,2.561723,0,0,0,0,0,0,0,0,0,0,0,0,3.041753,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06294-RA",0,0,0,0,0,0,0,13.15838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06296-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06297-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06299-RA",9.288846,41.035804,24.355633,0,87.02717,0,0,0,19.855785,19.566842,0,0,73.733984,0,0,0,0,19.639208,0,0,0,0,0,0,0,0,0,800.969982,0
"Mcavernosa06300-RA",21.11823,8.885245,5.742347,9.496022,0,0,0,5.373318,22.571106,32.198884,0,179.182115,98.653883,0,256.467855,1.461081,1089.626564,5.95331,73.307549,0,2.892065,80.676364,86.277801,1.244678,0,42.101391,8.026926,0,1.352994
"Mcavernosa06301-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06302-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06303-RA",0,98.227436,58.570007,0,0,0,0,0,27.725138,62.449554,0,0,0,0,0,114.413007,0,0,0,0,0,0,0,5.733358,0,79.727436,0,0,0
"Mcavernosa06304-RA",0,4.386387,16.199027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.909242,0
"Mcavernosa06306-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06309-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06310-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06311-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06315-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06316-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06317-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06318-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06319-RA",0,0,0,0,0,0,0,0,2.32262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06326-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06327-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06335-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06336-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06337-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06340-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06341-RA",0,0,0.995635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06349-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06350-RA",69.892087,45.973179,13.765946,46.477544,21.229841,0,0,0,14.72967,46.80451,0,277.975441,24.250468,0,0,3.064778,19.046759,129.03977,0,565.270049,0,9.810291,33.7824,284.582443,2.550308,14.391631,0,0,0
"Mcavernosa06351-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06353-RA",0,19.02668,24.822216,0,10.65877,0,0,0,4.202896,1.577804,0,0,0,0,0,5.441268,0,0,0,0,0,0,93.180025,0,0,0,0,0,0
"Mcavernosa06354-RA",0,0,10.081738,0,0,0,0,17.681574,16.505121,0,0,0,0,0,0,0,0,0,0,16.292314,0,0,151.417542,0,0,1.026221,0,0,0
"Mcavernosa06355-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06356-RA",60.226553,35.085613,25.910476,0,0,0,0,0,6.602049,39.965276,0,0,0,0,0,0,0,0,0,16.292314,0,0,0,0,0,0,0,0,0
"Mcavernosa06357-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06358-RA",0,0,5.71305,0,0,0,0,149.68528,125.753305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06359-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06360-RA",0,0,1.666306,0,0,0,0,0,0,0,0,0,0.670951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06361-RA",9.237667,12.887277,5.665835,6.558646,0,0,0,12.989219,5.196418,0.877851,0,0,23.954614,0,0,28.255619,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06362-RA",0,0,1.093324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06364-RA",16.975188,4.285266,1.538598,5.088708,0,0,0,2.879442,0,14.757283,0,0,4.749718,0,0,0,0,0,0,35.249674,0,1.879682,38.836865,0,0,7.019041,0,0,0
"Mcavernosa06366-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06367-RA",0,0,0,0,0,0,0,0,12.945193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06368-RA",24.005317,0,30.971787,0,0,0,0,35.993025,18.326297,11.351756,0,0,0,0,0,37.368595,0,0,0,0,63.400647,0,0,1082.351451,0,17.091821,0,0,84.038686
"Mcavernosa06369-RA",9.452307,25.949573,20.653527,3.187743,34.08672,0,0,22.547276,27.782148,13.93782,144.885516,251.878454,24.191197,0,2.391509,14.223742,0,0,3.515541,0,0.970844,1.177498,13.902146,0,0,10.364286,2.694578,7.607274,25.888825
"Mcavernosa06372-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06375-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06378-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06384-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06385-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06386-RA",0,0,0.51491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06388-RA",0,2.5903,7.174528,0,0,0,0,0,0,3.087791,6.4196,0,11.796255,0,0,53.243302,0,0,0,0,0,0,0,0,0,0,0,0,70.998483
"Mcavernosa06389-RA",0,0,12.264266,0,1.240259,0,0,0,2.499592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.554145,0,0,0
"Mcavernosa06390-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06391-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06393-RA",0,0,0.709906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06395-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06397-RA",0,221.217255,79.426704,0,0,0,0,0,0,0,0,0,0,0,0,0,753.57201,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06398-RA",0,14.438395,6.665165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06401-RA",21.149668,19.15106,16.073932,24.809109,0.325104,13.187623,0,15.792995,4.914067,10.238549,0,0,0,0,0,8.588678,0,0,0,0,1.888937,4.58203,2.254076,613.780881,0,1.222147,0,2.114457,14.139217
"Mcavernosa06405-RA",0,0,0,0,0,0,0,31.392053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06406-RA",0,0,4.284787,0,0,0,0,0,15.719163,8.943459,0,0,0,0,0,0,0,0,0,0,151.058749,0,0,0,0,0,0,0,0
"Mcavernosa06408-RA",1.009327,31.849684,29.405403,149.771824,0,28.950281,0,65.48731,38.83558,63.771471,189.441147,0,101.116263,88.651154,20.429425,274.43616,0,324.367839,15.015727,331.626939,0,15.088131,44.534571,0,10.459597,48.292772,11.509196,4.641787,9.699775
"Mcavernosa06411-RA",1.363093,28.101753,34.681721,6.129283,1.285113,0,13.036007,57.22613,11.654959,52.231019,0,0,53.976145,0,0,24.519725,0,0,67.595623,0,0,0,35.64076,0,0,16.002864,0,0,58.511152
"Mcavernosa06412-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06414-RA",0,11.593759,2.230001,0,0,0,0,0,0,1.382045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06415-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06416-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06417-RA",0,0,3.749189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06418-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06419-RA",0,6.367986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06421-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06422-RA",0,0,2.845234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06423-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06424-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06425-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06426-RA",0.256897,1.945553,1.496869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.875254
"Mcavernosa06427-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06428-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06429-RA",0,0,1.169338,0,0,0,0,0,3.431864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771444
"Mcavernosa06430-RA",78.301044,59.787689,45.623933,13.040312,81.34048,0,0,3.689426,39.261009,20.362989,0,930.414175,33.33965,0,0,0,0,0,1035.450701,0,0,52.985549,0,0,5.008821,12.20545,0,0,0
"Mcavernosa06433-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06434-RA",0,10.155693,4.688151,0,0,0,0,13.958219,4.690621,0.88045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06435-RA",109.864623,67.921331,130.643244,151.229758,247.322496,0,0,299.506392,210.882132,145.73924,0,0,382.960811,98.465528,975.718228,83.766885,0,0,0,351.44427,0,335.170094,186.867384,3441.138875,0,302.465254,0,0,0
"Mcavernosa06436-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06437-RA",0,14.84634,48.431287,5.288962,207.923453,19.679944,0,23.942044,56.151984,101.4669,2.452935,542.653545,74.693391,25.82728,3.967886,14.647906,0,102.789534,163.319262,1.181834,225.509476,95.728947,136.472808,0.693243,0,111.77378,4.470725,90.154666,107.760771
"Mcavernosa06438-RA",0,0,0,0,0,0,0,0,0,12.289917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mcavernosa06439-RA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
